UOID,Parent,Label,OrgName,ProgramName,Adjusted,Normalized,Outcomes,CPO,Efficacy,Evidence,Definition,OtherOutcomes,Budget,Reach,Type
Z05.03.05,Z05.03,Career Advancement,,,1500,0.72%,"1,500","$2,226 ",89.40%,50.0% Reliable Evidence,"The attainment of the skills and knowledge necessary to progress in one's career (e.g., professional development and skills to increase professional capabilities or productivity).",,,,Outcome
Z05.03.06,Z05.03,"Acquire Full-time, Non-Seasonal Employment",,,4203,2.03%,"4,203","$9,511 ",62.10%,63.6% Reliable Evidence,"The attainment of full-time, non-seasonal employment and the soft skills to retain the position.",,,,Outcome
Z05.04.01,Z05.04,Economic Well-Being,,,17745,8.57%,"17,745",$440 ,70.40%,28.6% Reliable Evidence,"The attainment of an income necessary to have a decent quality of life (e.g., affording food, basic healthcare, education, etc.).",,,,Outcome
Z05.04.02,Z05.04,Financial Literacy,,,104751,50.58%,"104,751",$455 ,83.10%,54.3% Reliable Evidence,The attainment of knowledge of and access to personal finance strategies and instruments.,,,,Outcome
Z05.04.03,Z05.04,Financial Resilience,,,11793,5.69%,"11,793","$3,059 ",73.00%,37.5% Reliable Evidence,"The attainment of skills and knowledge necessary to improve one's financial situation and to withstand unforeseen events (e.g., personal finance strategies and instruments, savings and physical assets, insurance and access to non-extortionate credit).",,,,Outcome
Z06.01.01,Z06.01,Effective School Leadership,,,310,0.12%,310,N/A,N/A,N/A,"The attainment of highly effective school leadership (e.g., effective, certified school leaders, professional development opportunities, effective planning and coordination, measurable goals for student achievement, accountability measures, culture of learning at school, parent and community involvement, shared leadership, etc.).",,,,Outcome
Z06.01.02,Z06.01,Effective Teachers,,,7190,2.89%,"7,190","$8,676 ",92.70%,53.8% Reliable Evidence,The demonstration of improved teaching methods and self-directed professional development.,,,,Outcome
Z06.01.03,Z06.01,Equitable Education,,,9875,3.97%,"9,875","$8,254 ",77.50%,40.0% Reliable Evidence,"The attainment of more equitable education for students of all backgrounds, genders, races, achievement levels and diverse student needs (e.g., attendance at all education levels, equitable funding for high poverty schools, equal proportions of highly certified teachers for all students, equitable student achievement, etc.).",,,,Outcome
Z06.01.04,Z06.01,Positive School Environment,,,2606,1.05%,"2,606","$12,007 ",98.60%,37.5% Reliable Evidence,"The attainment of a positive school environment (e.g., safe, supportive and academically challenging climate, inclusive school community, engaging instructional environments, etc.).",,,,Outcome
Z06.02.01,Z06.02,Parental Readiness,,,228,0.09%,228,"$8,160 ",83.20%,0.0% Reliable Evidence,"The attainment of skills necessary to help one's child achieve success in school (e.g., skills to provide a stimulating home environment, skills to support a child's socialization, skills to model and encourage good behaviour, etc.)",,,,Outcome
Z06.02.02,Z06.02,Social and Emotional Gains,,,4004,1.61%,"4,004","$3,432 ",89.20%,56.3% Reliable Evidence,"The demonstration of gains in sense of self and others, emotional and social competence, and ability to manage behavior problems above and beyond expected developmental growth.",,,,Outcome
Z06.02.03,Z06.02,School Readiness,,,5821,2.34%,"5,821","$2,992 ",84.10%,50.0% Reliable Evidence,"The attainment of the basic academic skills necessary to continue learning successfully in school (e.g., basic language and literacy skills, numeracy skills, motor skills, cognitive skills, etc.)",,,,Outcome
Z06.02.04,Z06.02,Development of Tools for Active Learning,,,6468,2.60%,"6,468","$4,232 ",77.70%,100.0% Reliable Evidence,"The demonstration of increased ability to self-direct, follow through on tasks, focus attention, reason, and engage in learning, above and beyond expected developmental growth.",,,,Outcome
Z06.02.05,Z06.02,Mathematics and Science Knowledge Gains,,,100,0.04%,100,N/A,N/A,N/A,"The demonstration of gains in knowledge of mathematics (e.g., numbers and sequence; shapes; patterns) or scientific knowledge and practices (e.g., physical and life sciences; observation; measurement; classification) above and beyond expected developmental growth.",,,,Outcome
Z06.02.06,Z06.02,Oral Language and Emergent Literacy Gains,,,1486,0.60%,"1,486","$4,289 ",88.70%,66.7% Reliable Evidence,"The demonstration of gains in oral language skills (e.g., phonological awareness, appropriate use of vocabulary, following and constructing narratives) and pre- and early reading and writing skills (e.g., concepts of print, letter recognition, identification of print letters) above and beyond expected developmental growth.",,,,Outcome
Z06.03.01,Z06.03,School Engagement and Persistence,,,11439,4.60%,"11,439","$4,540 ",84.90%,14.3% Reliable Evidence,"The demonstration of school engagement, an attendance rate of at least 95% and persistence in education.",,,,Outcome
Z06.03.02,Z06.03,Academic Habits of Mind,,,28951,11.63%,"28,951",$466 ,87.40%,53.8% Reliable Evidence,"The development of the skills and attitudes necessary to be successful learners, including cognitive skills, organizational and study skills, and a mastery orientation to learning. ",,,,Outcome
Z06.03.03,Z06.03,Improved Academic Performance,,,18022,7.24%,"18,022","$2,677 ",73.00%,69.0% Reliable Evidence,"The attainment of grade level proficiency on standardized tests and learning standards or higher academic achievement (e.g., proficiency on standardized tests, grade on assignments, tests, GPA, etc.).",,,,Outcome
Z06.03.04,Z06.03,"Improved Academic Attitudes, Beliefs, and Motivations",,,20328,8.17%,"20,328",$597 ,89.00%,42.9% Reliable Evidence,"The demonstration of improved attitudes towards school and motivational beliefs (e.g., school-valuing, academic identity, self-efficacy, mastery orientation, perseverance).",,,,Outcome
Z06.04.01,Z06.04,STEM Interest,,,24200,9.72%,"24,200","$1,169 ",79.30%,52.4% Reliable Evidence,"The attainment of access to and awareness of STEM subjects (science, computer science / information technology, math, engineering), STEM academic options, and STEM career opportunities.",,,,Outcome
Z06.04.02,Z06.04,STEM Proficiency,,,5649,2.27%,"5,649","$1,404 ",85.10%,72.2% Reliable Evidence,"The attainment of the skills, content knowledge, practices, and behaviours in relevant STEM topics aligned with the expectations and standards of proficiency for a given age / grade level, as well as in less formal learning contexts.",,,,Outcome
Z06.04.03,Z06.04,STEM Persistence,,,1336,0.54%,"1,336","$1,618 ",81.90%,75.0% Reliable Evidence,"The continuation of ongoing STEM-related activities/programs (e.g., retention in STEM coursework, declaration of STEM majors, graduation in STEM majors, pursuit of STEM careers, etc.).",,,,Outcome
Z06.05.01,Z06.05,High School Completion,,,5834,2.34%,"5,834","$8,460 ",57.70%,81.3% Reliable Evidence,"The attainment of a high school diploma, GED, or other high school equivalency or demonstration of on-track status in ninth-grade.",,,,Outcome
Z06.05.02,Z06.05,College Access and Readiness,,,56807,22.82%,"56,807","$2,342 ",85.10%,42.0% Reliable Evidence,"The attainment of knowledge and skills (both cognitive and non-cognitive) that prepare students to be ready for success in college (e.g. college options, college finances, college completion).",,,,Outcome
Z06.05.03,Z06.05,College Persistence and Completion,,,13875,5.57%,"13,875","$3,773 ",81.60%,29.4% Reliable Evidence,"The attainment of the academic success, financial resources, and intent necessary to complete a college degree (e.g., maintained a 2.5 GPA, acquired financing to pay for courses, etc.).",,,,Outcome
Z06.05.04,Z06.05,Career Access and Readiness,,,24367,9.79%,"24,367","$5,555 ",75.20%,45.8% Reliable Evidence,"The attainment of the skills, knowledge, and experience necessary to identify and acquire a sustainable, living wage position (e.g., marketable skills, skills to find a job, knowledge of job placement services, certifications, education, internship experience, etc.).",,,,Outcome
Z08.01.01,Z08.01,"Affordable, Quality Healthcare",,,11817,8.16%,"11,817",$541 ,93.60%,12.5% Reliable Evidence,"The attainment of access to affordable, effective medical supports and services at all levels of the healthcare system (i.e., individual doctor, medical team, medical organization, and larger environment).",,,,Outcome
Z08.01.02,Z08.01,Care Management,,,10460,7.23%,"10,460","$1,568 ",79.00%,0.0% Reliable Evidence,The attainment of a care management system to adequately treat individuals at high risk of poor health.,,,,Outcome
Z08.02.01,Z08.02,Access to Services and Supports,,,4993,3.45%,"4,993","$1,927 ",81.40%,25.0% Reliable Evidence,"The attainment of adequate, accessible services and supports best aligned to an individual's needs.",,,,Outcome
Z08.02.02,Z08.02,Manage Mental Health,,,1491,1.03%,"1,491","$14,120 ",78.70%,37.5% Reliable Evidence,The demonstration of consistent patterns of behavior to manage their mental health and improve day-to-day functioning.,,,,Outcome
Z08.02.03,Z08.02,Reduce Stigma,,,100,0.07%,100,N/A,N/A,N/A,"The reduction of stigma towards those with mental illness, including increased social acceptance of mental illness from the general population and decreased perceptions of stigma, prejudice, and discrimination from those with mental illness.",,,,Outcome
Z08.03.01,Z08.03,Awareness of Ailment or Condition,,,6777,4.68%,"6,777",$373 ,95.90%,33.3% Reliable Evidence,"The attainment of awareness of an ailment or condition's risk factors, symptoms, and impacts on health.",,,,Outcome
Z08.03.04,Z08.03,Patient Quality of Life,,,3972,2.74%,"3,972","$2,348 ",87.10%,33.3% Reliable Evidence,"The attainment of improved quality of life (e.g., reduced  pain, discomfort and anxiety, improved recovery time, etc.).",,,,Outcome
Z08.04.01,Z08.04,Healthy Relationships,,,19959,13.79%,"19,959","$2,847 ",72.30%,77.8% Reliable Evidence,The attainment of knowledge and skills to establish healthy and financially respectful relationships and the ability to recognize patterns of perpetrator behavior.​,,,,Outcome
Z08.04.02,Z08.04,Identify and Refer Survivors,,,5000,3.45%,"5,000",N/A,N/A,N/A,The successful screening and referral to relevant services of individuals who have experienced domestic violence.​,,,,Outcome
Z08.04.05,Z08.04,"Survivor Well-Being, Independence, and Financial Empowerment",,,56711,39.18%,"56,711","$1,241 ",88.40%,35.0% Reliable Evidence,"The attainment of access to and support of survivor-centered services aimed at safety planning, mental and physical health support, and improving financial and residential stability.",,,,Outcome
Z08.05.02,Z08.05,Maternal Health,,,15935,11.01%,"15,935",$628 ,62.30%,0.0% Reliable Evidence,"The attainment of the health care and status necessary to birth a healthy child, survive childbirth, and achieve postpartum health and support to care for a child",,,,Outcome
Z08.05.05,Z08.05,Sexual Health Empowerment,,,637,0.44%,637,N/A,N/A,N/A,"The attainment of the knowledge, support, and rights to make his / her own sexual and reproductive health choices (e.g., knowledge of anatomy, access to contraceptives, reproductive health counselling, safe and legal abortion services, rights and safety for LGBTQ, freedom from sexual harassment, abuse and violations, etc.).",,,,Outcome
Z08.06.01,Z08.06,Prevent Substance Abuse,,,135,0.09%,135,N/A,N/A,N/A,"The attainment of improved attitudes, intentions, and self-efficacy towards substance abuse, leading to a reduced rate of substance use (e.g., smoking, drinking, drug usage, etc.).",,,,Outcome
Z08.06.03,Z08.06,Patient Quality of Life,,,100,0.07%,100,N/A,N/A,N/A,"The attainment of improved daily functioning, including the development of independent living skills, a positive physical and mental well-being, and consistent engagement with treatment.",,,,Outcome
Z08.06.04,Z08.06,Reduce Substance Abuse,,,747,0.52%,747,"$16,861 ",37.60%,25.0% Reliable Evidence,"The elimination of unhealthy behaviours (i.e.,smoking, drug and alcohol abuse).",,,,Outcome
Z08.07.01,Z08.07,Healthy Food Consumption and Behaviour,,,5000,3.45%,"5,000",$496 ,81.10%,0.0% Reliable Evidence,"The attainment of knowledge of proper nutrition and food consumption (proper nutrient balance, healthy preparation and portion size, etc.), leading to the successful adoption of healthy eating behaviours.",,,,Outcome
Z08.07.02,Z08.07,Physical Fitness,,,800,0.55%,800,$690 ,84.00%,0.0% Reliable Evidence,The establishment of a sustained pattern of physical activity and reduced sedentary activity.,,,,Outcome
Z08.07.03,Z08.07,Reduce Obesity,,,100,0.07%,100,$456 ,91.20%,100.0% Reliable Evidence,"The attainment of knowledge of healthy patterns of behaviour (i.e., nutrition, fitness), leading to attainment of a BMI that is at a healthy level.",,,,Outcome
Z10.01.01,Z10.01,Climate Change Adaptation,,,100,0.12%,100,N/A,N/A,N/A,"The attainment of resilience against extreme weather events and consequences of  higher temperatures (e.g., flood defences, water purification and storage,  urban greening, heat wave plans, etc.).",,,,Outcome
Z10.01.02,Z10.01,Climate Change Science and Awareness,,,11000,13.37%,"11,000",N/A,N/A,N/A,"The attainment of knowledge regarding climate change, one's individual contribution, and the consequences for Earth.",,,,Outcome
Z10.01.03,Z10.01,Reduce Corporate Carbon Footprint,,,200,0.24%,200,N/A,N/A,N/A,"The attainment of sustainable business and production practices to reduce its carbon footprint (low greenhouse gas emissions and net carbon footprint, investment in sustainable energy systems, etc.).",,,,Outcome
Z10.01.04,Z10.01,Reduce Individual Carbon Footprint,,,25755,31.30%,"25,755",$67 ,71.40%,42.9% Reliable Evidence,"The attainment of a personal behaviour pattern that reduces carbon footprint (e.g., low car emissions, reusing carbon-intensive materials, recycling, purchasing solar panels, responsible energy usage, etc.).",,,,Outcome
Z10.02.01,Z10.02,Conservation Awareness and Responsibility,,,35000,42.54%,"35,000",$64 ,91.90%,14.3% Reliable Evidence,The attainment of skills and knowledge regarding conservation and one's personal responsibility for health of the environment.,,,,Outcome
Z10.02.02,Z10.02,Habitat Protection,,,8909,10.83%,"8,909",N/A,N/A,N/A,"The attainment of sustainable practices to protecting, maintaining, and restore habitats (e.g. sustainable logging practices, creating of protected corridors, sustainable land management, etc.)",,,,Outcome
Z10.02.03,Z10.02,Species Conservation,,,250,0.30%,250,N/A,N/A,N/A,"The attainment of sustainable practices to avoid species extinction and re-establishing threatened populations, while meeting the needs of both people and nature.",,,,Outcome
Z10.03.01,Z10.03,Animal Wellness,,,1069,1.30%,"1,069",N/A,N/A,N/A,"The attainment of stable living conditions and proper care for animals (e.g., adopted to a safe home, humane treatment, adequate nutrition, etc.).",,,,Outcome
Z12.01.01,Z12.01,Civic Engagement,,,26183,16.29%,"26,183",$772 ,90.70%,28.6% Reliable Evidence,"The attainment by of awareness or understanding of one's civic responsibility and demonstrated civic action (e.g., understanding of democratic processes, understanding of diversity, desire to help those in need, understanding of social issues, volunteering, political organizing, voting, etc.).",,,,Outcome
Z12.01.02,Z12.01,Independent Living Skills,,,26202,16.31%,"26,202","$2,626 ",86.70%,83.3% Reliable Evidence,"The attainment of skills necessary to be self-sufficient and prepared for adulthood (e.g., critical thinking skills, time-management skills, goal-setting skills, financial literacy skills, home living skills, etc.).",,,,Outcome
Z12.01.03,Z12.01,Reduce Risky Behavior,,,30968,19.27%,"30,968",$345 ,84.50%,50.0% Reliable Evidence,"The attainment of a pattern of healthy behaviours to reduce negative outcomes (e.g., substance abuse, delinquency, teen pregnancy, school drop-out, violence, unsafe driving, etc.).",,,,Outcome
Z12.01.04,Z12.01,Social and Emotional Skills,,,77340,48.13%,"77,340","$1,998 ",82.50%,58.0% Reliable Evidence,"The attainment of the ability to feel positively about oneself, behave positively, and interact positively with others (e.g., self-awareness, self-confidence, emotion and behaviour management, positive relationships with peers and adults, positive social and leadership skills, etc.).",,,,Outcome
