UOID,Parent,Label,Impact Area,Genome,Outcome,Benchmark CPO,Benchmark Efficacy,Benchmark Evidence,Outcomes Produced,Outcomes Adjusted
Z05.01,Z05,Local Economic Development,Economic Development,Local Economic Development,,,,,0,0.0083333
Z05.02,Z05,Business Development & Job Creation,Economic Development,Business Development & Job Creation,,,,,0,0.1958333
Z05.03,Z05,Workforce Development,Economic Development,Workforce Development,,,,,0,0.4833333
Z05.04,Z05,Financial Health,Economic Development,Financial Health,,,,,0,0.3125000
Z06.01,Z06,Quality Education,Education,Quality Education,,,,,0,0.1052632
Z06.02,Z06,Early Childhood Education,Education,Early Childhood Education,,,,,0,0.1357341
Z06.03,Z06,K-12 Student Achievement,Education,K-12 Student Achievement,,,,,0,0.2132964
Z06.04,Z06,STEM,Education,STEM,,,,,0,0.1745152
Z06.05,Z06,College & Career Readiness,Education,College & Career Readiness,,,,,0,0.3711911
Z08.01,Z08,Healthcare Access,Public Health,Healthcare Access,,,,,0,0.0977011
Z08.02,Z08,Mental Health,Public Health,Mental Health,,,,,0,0.1206897
Z08.03,Z08,Patient Advocacy,Public Health,Patient Advocacy,,,,,0,0.0402299
Z08.04,Z08,Intimate Partner Violence,Public Health,Intimate Partner Violence,,,,,0,0.6034483
Z08.05,Z08,Reproductive Health,Public Health,Reproductive Health,,,,,0,0.0517241
Z08.06,Z08,Substance Abuse & Addictive Behaviour,Public Health,Substance Abuse & Addictive Behaviour,,,,,0,0.0459770
Z08.07,Z08,Obesity Prevention,Public Health,Obesity Prevention,,,,,0,0.0402299
Z09.01,Z09,Innovation,Science & Technology,Innovation,,,,,0,0.8800000
Z09.02,Z09,Technological Literacy,Science & Technology,Technological Literacy,,,,,0,0.1200000
Z10.01,Z10,Climate Change Mitigation & Adaptation,Sustainability and Environment,Climate Change Mitigation & Adaptation,,,,,0,0.5675676
Z10.02,Z10,Biodiversity & Habitat Protection,Sustainability and Environment,Biodiversity & Habitat Protection,,,,,0,0.4054054
Z10.03,Z10,Animal Welfare,Sustainability and Environment,Animal Welfare,,,,,0,0.0270270
Z12.01,Z12,Youth Development,Youth,Youth Development,,,,,0,1.0000000
Z01.01.01,Z01.01,Enhance Arts Appreciation,Arts,Access and Appreciation,Enhance Arts Appreciation,$169 ,92.40%,27.5% Reliable Evidence,0,0.3617021
Z01.01.02,Z01.01,Reach Diverse Audiences,Arts,Access and Appreciation,Reach Diverse Audiences,$62 ,88.00%,6.7% Reliable Evidence,0,0.3191489
Z01.02.01,Z01.02,Strengthen Individual Creativity Skills,Arts,Creative Community,Strengthen Individual Creativity Skills,$741 ,92.10%,25.7% Reliable Evidence,0,0.2482270
Z01.02.02,Z01.02,Strengthen Creative Community,Arts,Creative Community,Strengthen Creative Community,"$10,088 ",100.00%,16.7% Reliable Evidence,0,0.0425532
Z01.02.03,Z01.02,Expose New Artistic Talent,Arts,Creative Community,Expose New Artistic Talent,$497 ,97.90%,0.0% Reliable Evidence,0,0.0283688
Z02.01.01,Z02.01,Community Safety,Criminal Justice,Crime Prevention,Community Safety,,,,0,0.2000000
Z02.01.02,Z02.01,Reduce Crime,Criminal Justice,Crime Prevention,Reduce Crime,,,,0,0.4000000
Z02.02.01,Z02.02,Prisoner Re-Entry,Criminal Justice,Criminal Recidivism,Prisoner Re-Entry,"$22,595 ",92.50%,50.0% Reliable Evidence,0,0.4000000
Z03.01.01,Z03.01,Prevent Child Abuse and Neglect,Critical Human Needs,Child Welfare,Prevent Child Abuse and Neglect,,,,0,0.0075472
Z03.01.02,Z03.01,Reduce Child Abuse and Neglect Recurrence,Critical Human Needs,Child Welfare,Reduce Child Abuse and Neglect Recurrence,,,,0,0.0075472
Z03.02.01,Z03.02,Access to Quality Resources,Critical Human Needs,Disability,Access to Quality Resources,"$1,953 ",81.70%,37.5% Reliable Evidence,0,0.0301887
Z03.02.02,Z03.02,Mental and Physical Well-Being,Critical Human Needs,Disability,Mental and Physical Well-Being,"$2,083 ",85.40%,45.5% Reliable Evidence,0,0.0415094
Z03.02.03,Z03.02,Social Competence,Critical Human Needs,Disability,Social Competence,"$1,848 ",82.30%,25.0% Reliable Evidence,0,0.0301887
Z03.02.04,Z03.02,Financial Independence,Critical Human Needs,Disability,Financial Independence,"$72,048 ",47.50%,0.0% Reliable Evidence,0,0.0037736
Z03.02.05,Z03.02,Academic Performance,Critical Human Needs,Disability,Academic Performance,"$16,396 ",96.40%,50.0% Reliable Evidence,0,0.0075472
Z03.02.06,Z03.02,Reduce Stigma,Critical Human Needs,Disability,Reduce Stigma,$189 ,94.00%,0.0% Reliable Evidence,0,0.0037736
Z03.03.01,Z03.03,Access to Nutritious Food,Critical Human Needs,Food Security,Access to Nutritious Food,$171 ,91.00%,10.0% Reliable Evidence,0,0.3396226
Z03.03.02,Z03.03,Healthy Food Consumption and Behaviour,Critical Human Needs,Food Security,Healthy Food Consumption and Behaviour,$457 ,83.00%,70.0% Reliable Evidence,0,0.0377358
Z03.03.03,Z03.03,Emergency Supply and Distribution of Food,Critical Human Needs,Food Security,Emergency Supply and Distribution of Food,$708 ,89.00%,0.0% Reliable Evidence,0,0.0452830
Z03.04.01,Z03.04,Develop Affordable Permanent Housing,Critical Human Needs,Housing,Develop Affordable Permanent Housing,"$363,577 ",80.00%,7.7% Reliable Evidence,0,0.0490566
Z03.04.03,Z03.04,Housing Stability,Critical Human Needs,Housing,Housing Stability,"$3,973 ",69.50%,44.0% Reliable Evidence,0,0.0943396
Z03.05.01,Z03.05,Personal Well-Being,Critical Human Needs,Homelessness,Personal Well-Being,"$8,456 ",88.60%,11.1% Reliable Evidence,0,0.0339623
Z03.05.02,Z03.05,Access to Temporary Housing,Critical Human Needs,Homelessness,Access to Temporary Housing,"$2,723 ",98.60%,11.1% Reliable Evidence,0,0.0679245
Z03.05.03,Z03.05,Reduce Homelessness,Critical Human Needs,Homelessness,Reduce Homelessness,"$6,330 ",86.80%,48.1% Reliable Evidence,0,0.1018868
Z03.05.04,Z03.05,Prevent Literal Homelessness through Housing Stabilization,Critical Human Needs,Homelessness,Prevent Literal Homelessness through Housing Stabilization,,,,0,0.0264151
Z03.05.05,Z03.05,Prevent Literal Homelessness through Housing Retention,Critical Human Needs,Homelessness,Prevent Literal Homelessness through Housing Retention,,,,0,0.0037736
Z03.06.01,Z03.06,Physical Well-Being,Critical Human Needs,Elderly Care,Physical Well-Being,,,,0,0.0037736
Z03.06.03,Z03.06,Caregiver Well-Being,Critical Human Needs,Elderly Care,Caregiver Well-Being,$110 ,86.00%,100.0% Reliable Evidence,0,0.0113208
Z03.06.04,Z03.06,Access to Affordable Housing,Critical Human Needs,Elderly Care,Access to Affordable Housing,,,,0,0.0075472
Z03.06.05,Z03.06,Access to Legal and Financial Support,Critical Human Needs,Elderly Care,Access to Legal and Financial Support,$807 ,85.00%,50.0% Reliable Evidence,0,0.0075472
Z03.06.09,Z03.06,Personal Independence and Condition Management,Critical Human Needs,Elderly Care,Personal Independence and Condition Management,,,,0,0.0037736
Z03.06.10,Z03.06,Aging Awareness and Social Support,Critical Human Needs,Elderly Care,Aging Awareness and Social Support,$760 ,84.10%,33.3% Reliable Evidence,0,0.0339623
Z04.01.03,Z04.01,Societal Participation,Culture & Identity,Civil Rights & Equality,Societal Participation,$279 ,97.20%,0.0% Reliable Evidence,0,0.0266667
Z04.02.02,Z04.02,Cultural Educational Experiences,Culture & Identity,Ethnic & Religious Identity,Cultural Educational Experiences,"$1,278 ",94.50%,50.0% Reliable Evidence,0,0.0266667
Z04.02.03,Z04.02,Cultural Tolerance,Culture & Identity,Ethnic & Religious Identity,Cultural Tolerance,$283 ,90.50%,46.7% Reliable Evidence,0,0.2000000
Z04.02.04,Z04.02,Cultural Traditions and Heritage,Culture & Identity,Ethnic & Religious Identity,Cultural Traditions and Heritage,$307 ,88.80%,40.0% Reliable Evidence,0,0.0666667
Z04.02.05,Z04.02,Ethnic or Religious Pride,Culture & Identity,Ethnic & Religious Identity,Ethnic or Religious Pride,,,,0,0.0133333
Z04.03.01,Z04.03,Ensure Refugee Well-Being,Culture & Identity,Immigration,Ensure Refugee Well-Being,,,,0,0.0133333
Z04.03.03,Z04.03,Immigrant-Safe Community,Culture & Identity,Immigration,Immigrant-Safe Community,,,,0,0.0133333
Z04.03.04,Z04.03,Improved Immigration Status,Culture & Identity,Immigration,Improved Immigration Status,"$3,804 ",53.80%,60.0% Reliable Evidence,0,0.0666667
Z04.03.05,Z04.03,Reduce Risk of Discrimination / Stigma,Culture & Identity,Immigration,Reduce Risk of Discrimination / Stigma,,,,0,0.0133333
Z04.03.08,Z04.03,Housing Stability,Culture & Identity,Immigration,Housing Stability,"$2,607 ",70.60%,33.3% Reliable Evidence,0,0.0800000
Z04.03.09,Z04.03,Access to Quality Legal Services,Culture & Identity,Immigration,Access to Quality Legal Services,$311 ,87.90%,0.0% Reliable Evidence,0,0.1866667
Z04.03.11,Z04.03,Academic Performance,Culture & Identity,Immigration,Academic Performance,,,,0,0.0133333
Z04.03.12,Z04.03,Job Readiness,Culture & Identity,Immigration,Job Readiness,"$6,755 ",74.90%,25.0% Reliable Evidence,0,0.1066667
Z04.03.13,Z04.03,Acquire Employment,Culture & Identity,Immigration,Acquire Employment,"$7,909 ",52.10%,16.7% Reliable Evidence,0,0.0800000
Z04.03.15,Z04.03,Cultural Traditions and Heritage,Culture & Identity,Immigration,Cultural Traditions and Heritage,,,,0,0.0133333
Z04.04.01,Z04.04,Jewish Connectivity,Culture & Identity,Jewish Engagement,Jewish Connectivity,"$2,964 ",87.30%,66.7% Reliable Evidence,0,0.0400000
Z04.04.02,Z04.04,Jewish Learning and Culture,Culture & Identity,Jewish Engagement,Jewish Learning and Culture,$136 ,71.70%,50.0% Reliable Evidence,0,0.0266667
Z04.04.04,Z04.04,Israel Engagement,Culture & Identity,Jewish Engagement,Israel Engagement,,,,0,0.0133333
Z05.01.01,Z05.01,Develop Community Infrastructure,Economic Development,Local Economic Development,Develop Community Infrastructure,,,,0,0.0041667
Z05.01.02,Z05.01,Local Economic Growth,Economic Development,Local Economic Development,Local Economic Growth,,,,0,0.0041667
Z05.02.01,Z05.02,Business Growth,Economic Development,Business Development & Job Creation,Business Growth,"$7,337 ",70.90%,41.7% Reliable Evidence,0,0.0500000
Z05.02.03,Z05.02,Stimulate Entrepreneurship,Economic Development,Business Development & Job Creation,Stimulate Entrepreneurship,"$3,852 ",90.00%,48.6% Reliable Evidence,0,0.1458333
Z05.03.01,Z05.03,Job Readiness,Economic Development,Workforce Development,Job Readiness,"$3,034 ",85.80%,34.4% Reliable Evidence,0,0.2541667
Z05.03.03,Z05.03,Acquire Employment,Economic Development,Workforce Development,Acquire Employment,"$8,336 ",78.00%,12.0% Reliable Evidence,0,0.1041667
Z05.03.04,Z05.03,Job Quality,Economic Development,Workforce Development,Job Quality,,,,0,0.0041667
Z05.03.05,Z05.03,Career Advancement,Economic Development,Workforce Development,Career Advancement,"$2,226 ",89.40%,50.0% Reliable Evidence,0,0.0250000
Z05.03.06,Z05.03,"Acquire Full-time, Non-Seasonal Employment",Economic Development,Workforce Development,"Acquire Full-time, Non-Seasonal Employment","$9,511 ",62.10%,65.2% Reliable Evidence,0,0.0958333
Z05.04.01,Z05.04,Economic Well-Being,Economic Development,Financial Health,Economic Well-Being,$440 ,70.40%,25.0% Reliable Evidence,0,0.0333333
Z05.04.02,Z05.04,Financial Literacy,Economic Development,Financial Health,Financial Literacy,$455 ,83.10%,46.4% Reliable Evidence,0,0.2333333
Z05.04.03,Z05.04,Financial Resilience,Economic Development,Financial Health,Financial Resilience,"$3,059 ",73.00%,27.3% Reliable Evidence,0,0.0458333
Z06.01.01,Z06.01,Effective School Leadership,Education,Quality Education,Effective School Leadership,,,,0,0.0083102
Z06.01.02,Z06.01,Effective Teachers,Education,Quality Education,Effective Teachers,"$8,676 ",92.70%,50.0% Reliable Evidence,0,0.0498615
Z06.01.03,Z06.01,Equitable Education,Education,Quality Education,Equitable Education,"$8,254 ",77.50%,33.3% Reliable Evidence,0,0.0166205
Z06.01.04,Z06.01,Positive School Environment,Education,Quality Education,Positive School Environment,"$12,007 ",98.60%,27.3% Reliable Evidence,0,0.0304709
Z06.02.01,Z06.02,Parental Readiness,Education,Early Childhood Education,Parental Readiness,"$8,160 ",83.20%,0.0% Reliable Evidence,0,0.0055402
Z06.02.02,Z06.02,Social and Emotional Gains,Education,Early Childhood Education,Social and Emotional Gains,"$3,432 ",89.20%,45.0% Reliable Evidence,0,0.0554017
Z06.02.03,Z06.02,School Readiness,Education,Early Childhood Education,School Readiness,"$2,992 ",84.10%,29.4% Reliable Evidence,0,0.0470914
Z06.02.04,Z06.02,Development of Tools for Active Learning,Education,Early Childhood Education,Development of Tools for Active Learning,"$4,232 ",77.70%,75.0% Reliable Evidence,0,0.0110803
Z06.02.05,Z06.02,Mathematics and Science Knowledge Gains,Education,Early Childhood Education,Mathematics and Science Knowledge Gains,,,,0,0.0055402
Z06.02.06,Z06.02,Oral Language and Emergent Literacy Gains,Education,Early Childhood Education,Oral Language and Emergent Literacy Gains,"$4,289 ",88.70%,75.0% Reliable Evidence,0,0.0110803
Z06.03.01,Z06.03,School Engagement and Persistence,Education,K-12 Student Achievement,School Engagement and Persistence,"$4,540 ",84.90%,13.3% Reliable Evidence,0,0.0415512
Z06.03.02,Z06.03,Academic Habits of Mind,Education,K-12 Student Achievement,Academic Habits of Mind,$466 ,87.40%,50.0% Reliable Evidence,0,0.0443213
Z06.03.03,Z06.03,Improved Academic Performance,Education,K-12 Student Achievement,Improved Academic Performance,"$2,677 ",73.00%,53.8% Reliable Evidence,0,0.1080332
Z06.03.04,Z06.03,"Improved Academic Attitudes, Beliefs, and Motivations",Education,K-12 Student Achievement,"Improved Academic Attitudes, Beliefs, and Motivations",$597 ,89.00%,42.9% Reliable Evidence,0,0.0193906
Z06.04.01,Z06.04,STEM Interest,Education,STEM,STEM Interest,"$1,169 ",79.30%,55.6% Reliable Evidence,0,0.0997230
Z06.04.02,Z06.04,STEM Proficiency,Education,STEM,STEM Proficiency,"$1,404 ",85.10%,65.2% Reliable Evidence,0,0.0637119
Z06.04.03,Z06.04,STEM Persistence,Education,STEM,STEM Persistence,"$1,618 ",81.90%,75.0% Reliable Evidence,0,0.0110803
Z06.05.01,Z06.05,High School Completion,Education,College & Career Readiness,High School Completion,"$8,460 ",57.70%,68.4% Reliable Evidence,0,0.0526316
Z06.05.02,Z06.05,College Access and Readiness,Education,College & Career Readiness,College Access and Readiness,"$2,342 ",85.10%,39.3% Reliable Evidence,0,0.1551247
Z06.05.03,Z06.05,College Persistence and Completion,Education,College & Career Readiness,College Persistence and Completion,"$3,773 ",81.60%,19.2% Reliable Evidence,0,0.0720222
Z06.05.04,Z06.05,Career Access and Readiness,Education,College & Career Readiness,Career Access and Readiness,"$5,555 ",75.20%,45.5% Reliable Evidence,0,0.0914127
Z08.01.01,Z08.01,"Affordable, Quality Healthcare",Public Health,Healthcare Access,"Affordable, Quality Healthcare",$541 ,93.60%,8.3% Reliable Evidence,0,0.0689655
Z08.01.02,Z08.01,Care Management,Public Health,Healthcare Access,Care Management,"$1,568 ",79.00%,0.0% Reliable Evidence,0,0.0287356
Z08.02.01,Z08.02,Access to Services and Supports,Public Health,Mental Health,Access to Services and Supports,"$1,927 ",81.40%,20.0% Reliable Evidence,0,0.0574713
Z08.02.02,Z08.02,Manage Mental Health,Public Health,Mental Health,Manage Mental Health,"$14,120 ",78.70%,30.0% Reliable Evidence,0,0.0574713
Z08.02.03,Z08.02,Reduce Stigma,Public Health,Mental Health,Reduce Stigma,,,,0,0.0057471
Z08.03.01,Z08.03,Awareness of Ailment or Condition,Public Health,Patient Advocacy,Awareness of Ailment or Condition,$373 ,95.90%,25.0% Reliable Evidence,0,0.0229885
Z08.03.04,Z08.03,Patient Quality of Life,Public Health,Patient Advocacy,Patient Quality of Life,"$2,348 ",87.10%,33.3% Reliable Evidence,0,0.0172414
Z08.04.01,Z08.04,Healthy Relationships,Public Health,Intimate Partner Violence,Healthy Relationships,"$2,847 ",72.30%,53.8% Reliable Evidence,0,0.0747126
Z08.04.02,Z08.04,Identify and Refer Survivors,Public Health,Intimate Partner Violence,Identify and Refer Survivors,,,,0,0.0172414
Z08.04.03,Z08.04,Reduce Domestic Violence Recurrence,Public Health,Intimate Partner Violence,Reduce Domestic Violence Recurrence,,,,0,0.0057471
Z08.04.05,Z08.04,"Survivor Well-Being, Independence, and Financial Empowerment",Public Health,Intimate Partner Violence,"Survivor Well-Being, Independence, and Financial Empowerment","$1,241 ",88.40%,30.7% Reliable Evidence,0,0.5057471
Z08.05.01,Z08.05,Infant Health,Public Health,Reproductive Health,Infant Health,"$1,268 ",70.00%,0.0% Reliable Evidence,0,0.0172414
Z08.05.02,Z08.05,Maternal Health,Public Health,Reproductive Health,Maternal Health,$628 ,62.30%,0.0% Reliable Evidence,0,0.0287356
Z08.05.05,Z08.05,Sexual Health Empowerment,Public Health,Reproductive Health,Sexual Health Empowerment,,,,0,0.0057471
Z08.06.01,Z08.06,Prevent Substance Abuse,Public Health,Substance Abuse & Addictive Behaviour,Prevent Substance Abuse,,,,0,0.0057471
Z08.06.03,Z08.06,Patient Quality of Life,Public Health,Substance Abuse & Addictive Behaviour,Patient Quality of Life,,,,0,0.0114943
Z08.06.04,Z08.06,Reduce Substance Abuse,Public Health,Substance Abuse & Addictive Behaviour,Reduce Substance Abuse,"$16,861 ",37.60%,20.0% Reliable Evidence,0,0.0287356
Z08.07.01,Z08.07,Healthy Food Consumption and Behaviour,Public Health,Obesity Prevention,Healthy Food Consumption and Behaviour,$496 ,81.10%,66.7% Reliable Evidence,0,0.0172414
Z08.07.02,Z08.07,Physical Fitness,Public Health,Obesity Prevention,Physical Fitness,$690 ,84.00%,33.3% Reliable Evidence,0,0.0172414
Z08.07.03,Z08.07,Reduce Obesity,Public Health,Obesity Prevention,Reduce Obesity,$456 ,91.20%,100.0% Reliable Evidence,0,0.0057471
Z09.01.01,Z09.01,Strengthen Innovation Skills,Science & Technology,Innovation,Strengthen Innovation Skills,"$1,538 ",84.10%,33.3% Reliable Evidence,0,0.2400000
Z09.01.02,Z09.01,Stimulate Entrepreneurship,Science & Technology,Innovation,Stimulate Entrepreneurship,"$2,378 ",84.10%,33.3% Reliable Evidence,0,0.3600000
Z09.01.03,Z09.01,Influential Research,Science & Technology,Innovation,Influential Research,"$23,618 ",84.10%,0.0% Reliable Evidence,0,0.2400000
Z09.01.04,Z09.01,Commercialize Innovations,Science & Technology,Innovation,Commercialize Innovations,,,,0,0.0400000
Z09.02.01,Z09.02,Develop Technological Skills,Science & Technology,Technological Literacy,Develop Technological Skills,"$3,850 ",96.70%,33.3% Reliable Evidence,0,0.1200000
Z10.01.01,Z10.01,Climate Change Adaptation,Sustainability and Environment,Climate Change Mitigation & Adaptation,Climate Change Adaptation,,,,0,0.0270270
Z10.01.02,Z10.01,Climate Change Science and Awareness,Sustainability and Environment,Climate Change Mitigation & Adaptation,Climate Change Science and Awareness,,,,0,0.2162162
Z10.01.03,Z10.01,Reduce Corporate Carbon Footprint,Sustainability and Environment,Climate Change Mitigation & Adaptation,Reduce Corporate Carbon Footprint,,,,0,0.0540541
Z10.01.04,Z10.01,Reduce Individual Carbon Footprint,Sustainability and Environment,Climate Change Mitigation & Adaptation,Reduce Individual Carbon Footprint,$67 ,71.40%,33.3% Reliable Evidence,0,0.2432432
Z10.01.05,Z10.01,Reduce National Carbon Footprint,Sustainability and Environment,Climate Change Mitigation & Adaptation,Reduce National Carbon Footprint,,,,0,0.0270270
Z10.02.01,Z10.02,Conservation Awareness and Responsibility,Sustainability and Environment,Biodiversity & Habitat Protection,Conservation Awareness and Responsibility,$64 ,91.90%,8.3% Reliable Evidence,0,0.3243243
Z10.02.02,Z10.02,Habitat Protection,Sustainability and Environment,Biodiversity & Habitat Protection,Habitat Protection,,,,0,0.0540541
Z10.02.03,Z10.02,Species Conservation,Sustainability and Environment,Biodiversity & Habitat Protection,Species Conservation,,,,0,0.0270270
Z10.03.01,Z10.03,Animal Wellness,Sustainability and Environment,Animal Welfare,Animal Wellness,,,,0,0.0270270
Z12.01.01,Z12.01,Civic Engagement,Youth,Youth Development,Civic Engagement,$772 ,90.70%,28.1% Reliable Evidence,0,0.1711230
Z12.01.02,Z12.01,Independent Living Skills,Youth,Youth Development,Independent Living Skills,"$2,626 ",86.70%,87.5% Reliable Evidence,0,0.0855615
Z12.01.03,Z12.01,Reduce Risky Behavior,Youth,Youth Development,Reduce Risky Behavior,$345 ,84.50%,38.1% Reliable Evidence,0,0.1122995
Z12.01.04,Z12.01,Social and Emotional Skills,Youth,Youth Development,Social and Emotional Skills,"$1,998 ",82.50%,50.8% Reliable Evidence,0,0.6310160
7145,Z06.02.03,Kids are Gr8,,,,"$11,829",,,95,0.0027701
7683,Z08.06.04,Pathways Bermuda,,,,"$4,154",,,142,0.0057471
9541,Z12.01.04,Chicago Public Library Foundation,,,,$227,,,3735,0.0053476
9546,Z06.03.03,City Year Chicago,,,,"$9,069",,,959,0.0027701
9547,Z06.01.02,Golden Apple Foundation for Excellence in Teaching,,,,"$7,585",,,672,0.0027701
9549,Z12.01.04,Center on Halsted,,,,"$63,375",,,8,0.0053476
9550,Z06.05.02,Boys & Girls Clubs of Greater Milwaukee,,,,"$2,239",,,67,0.0027701
9551,Z03.05.03,Heartland Alliance,,,,"$4,025",,,720,0.0037736
9552,Z05.03.01,Access Living of Metropolitan Chicago,,,,"$5,126",,,63,0.0041667
9553,Z06.03.03,Working In The Schools (WITS),,,,"$2,294",,,158,0.0027701
9554,Z12.01.04,Spark,,,,"$3,213",,,1482,0.0053476
9556,Z03.04.03,Neighborhood Housing Services (NHS) of Chicago,,,,"$8,434",,,243,0.0037736
9557,Z03.04.03,Volunteers of America of Illinois,,,,"$6,562",,,299,0.0037736
9558,Z06.05.02,Springboard to Success,,,,"$3,357",,,14,0.0027701
9559,Z05.02.03,Sunshine Enterprises,,,,"$3,714",,,225,0.0041667
9576,Z06.05.01,After School Matters,,,,"$2,137",,,15743,0.0027701
9594,Z01.01.02,Northshore Schools Foundation,,,,$10,,,1215,0.0070922
9595,Z08.07.01,Social Enterprise for Canada- Boys and Girls Club of York Region,,,,"$2,540",,,225,0.0057471
9596,Z04.03.13,La Passerelle-I.D.E.,,,,"$6,190",,,210,0.0133333
9597,Z04.03.13,County of Wellington Ontario Works,,,,"$12,064",,,10,0.0133333
9599,Z05.03.04,WoodGreen,,,,"$40,871",,,59,0.0041667
9600,Z04.03.12,Literacy Link South Central,,,,"$11,000",,,25,0.0133333
9601,Z04.03.13,Mennonite New Life Centre of Toronto (MNLCT),,,,"$4,179",,,30,0.0133333
9603,Z04.03.08,CHATS - Community & Home Assistance to Seniors,,,,"$1,602",,,64,0.0133333
9607,Z04.03.08,YWCA St. Thomas-Elgin,,,,"$2,449",,,49,0.0133333
9610,Z08.02.01,Tungasuvvingat Inuit,,,,$963,,,114,0.0057471
9611,Z06.05.03,Six Nations Polytechnic Inc.,,,,$730,,,227,0.0027701
9612,Z04.03.12,Community Living Essex County,,,,"$2,205",,,98,0.0133333
9613,Z04.03.04,Legal Aid Society of San Mateo County,,,,"$7,470",,,39,0.0133333
9614,Z04.03.12,City of Hamilton - Xperience Annex,,,,"$2,000",,,100,0.0133333
9615,Z09.01.03,University of Western Ontario,,,,"$23,529",,,17,0.0400000
9616,Z04.03.08,City of Gretaer Sudbury,,,,"$12,077",,,25,0.0133333
9617,Z04.03.12,Canadore College,,,,"$3,363",,,30,0.0133333
9619,Z04.03.13,Toronto District School Board,,,,$109,,,4097,0.0133333
9620,Z06.03.01,John Howard Society of Belleville and District,,,,"$3,250",,,80,0.0027701
9621,Z06.05.03,District of Nipissing Social Services Administration Board (DNSSAB),,,,"$11,361",,,66,0.0027701
9622,Z04.03.09,Human Agenda,,,,$397,,,200,0.0133333
9623,Z04.03.09,Immigrant Legal Resource Center,,,,$57,,,7152,0.0133333
9624,Z04.03.12,Catholic Family Services Peel Dufferin,,,,"$5,110",,,41,0.0133333
9625,Z06.03.01,United Way/Centraide Windsor-Essex County,,,,"$4,030",,,119,0.0027701
9626,Z06.03.01,Youth Opportunities Unlimited,,,,"$7,451",,,63,0.0027701
9628,Z04.03.08,Western University,,,,$817,,,164,0.0133333
9629,Z03.04.03,Lawson Health Research Institute,,,,"$1,178",,,55,0.0037736
9630,Z06.03.01,Culturelink Settlement and Community Services,,,,"$20,889",,,36,0.0027701
9631,Z03.06.05,McMaster Family Practice,,,,$848,,,70,0.0037736
9632,Z04.03.04,Catholic Charities,,,,"$1,301",,,548,0.0133333
9633,Z04.03.08,Mission Services of Hamilton,,,,"$7,037",,,7,0.0133333
9634,Z09.01.02,Community Innovation Lab,,,,"$16,019",,,43,0.0400000
9635,Z04.03.12,The Salvation Army Bethany Hope Centre,,,,"$15,610",,,26,0.0133333
9636,Z03.03.01,FoodShare Toronto,,,,$20,,,32000,0.0037736
9637,Z03.03.01,FoodShare Toronto,,,,"$2,457",,,164,0.0037736
9638,Z06.03.01,United Way/Centraide Windsor-Essex County,,,,"$3,338",,,68,0.0027701
9639,Z09.01.02,Thorncliffe Neighbourhood Office,,,,"$3,955",,,89,0.0400000
9645,Z04.03.04,Asian Law Alliance,,,,$190,,,5100,0.0133333
9649,Z04.03.09,Coastside Hope,,,,$527,,,342,0.0133333
9654,Z04.03.09,Pangea Legal Services,,,,$253,,,200,0.0133333
9663,Z04.03.04,La Raza Centro Legal,,,,"$1,117",,,665,0.0133333
9671,Z04.03.04,Community Legal Services in East Palo Alto,,,,"$8,827",,,287,0.0133333
